# X^3 + Y^3 = A^4 + B^4
# primitive nontrivial, X>=Y>0, A>=B>0, gcd(X,Y,A,B)=1
# sum branch, A,B <= 10^7
# n=7629
X,Y,A,B
12351425,8822328,225169,24796
1775085,1757701,57099,25055
4837141,960141,103249,25473
1075953,49960,30106,25521
3620705,499016,82870,25581
958881,901720,32995,25602
7452417,3648529,146611,25737
15272241,5918960,247775,25906
67508240,65484273,875852,25949
4034056,3324481,100474,26347
246977752,32123569,1971206,26369
467835193,73609010,3184137,26394
1040653,569205,29991,26623
2473765,640523,62118,26748
20161561,15477001,330299,26821
6173345,575616,123805,26858
635823626,120374041,4010853,26952
57603160,13377073,663263,26954
126138969,46456457,1204841,27073
1048672,778369,32276,27103
5504024,534017,113568,27137
3273777,2897944,87596,27213
8152585,5190153,161549,27351
2833901,1194885,69907,27625
36284416,30853441,527012,27953
118224872,80444609,1214133,28222
11406913,11124705,231263,28263
854190529,7987377,4996503,28277
1457217,1223809,45487,28353
1155632,909969,35831,28378
3170817,2791424,85313,28468
1504424,372977,40867,28584
1099985,398208,29168,28613
1308401,1095296,41187,28676
2523698,15625,62637,28722
1744929,482272,46659,28774
129788273,27148145,1218753,28937
1926157,628259,50832,29106
8621384,5939553,170729,29140
1743264448,942400705,8850101,29198
86122825,19130978,896442,29229
420147713,293032904,3156955,29238
85066136,62487761,962872,29253
2015677,1214757,55135,29343
19038445,18625043,339984,29508
3730402,3122009,95037,29568
1317808,302817,35250,29645
1293631559,122582377,6822606,29652
1921846169,1357492937,9898437,29707
13623825,8665328,237442,29929
3295858,2762105,86523,30192
23489568,14211985,354709,30408
1148633489,1004724392,7091976,30571
108988256,18682401,1068022,30787
1980836543,501456625,9427224,30846
1568161,865,41395,30971
10735024,5591617,193813,31018
1595512,617409,42848,31023
25240265,15485698,375081,31092
3330595,889613,77832,31242
1317073,1088735,40194,31344
1039548701,2673365,5789401,31395
1890095681,328365576,9076756,31631
2171809,1134672,57187,31698
10464601,4231175,186918,31770
5533081,3424871,120168,31968
394627765,212168301,2902851,32005
70189882,20516537,771585,32058
1991565,1062293,53227,32173
592896241,407467960,4076195,32344
20967193,15207865,335923,32377
2253697,648024,57086,32379
1624282,1533449,51039,32424
1498913,85784,38770,32451
51525533,23482469,622065,32969
1083354065,259844568,5991916,33467
1952637,747989,50699,33481
2568401,120336,62908,33659
6317697,2898904,128802,33733
49914040,16195713,598843,33906
7699592,1314417,146243,33940
10958597,26397,190417,34015
44592217,1276569,545689,34053
3345688,2552145,85211,34104
3061152,484129,72366,34237
4341737,1552649,95781,34553
8177021,8117445,181291,34555
1984704,841057,51373,34686
34155401,17947066,462168,34719
1276817,991409,35543,34761
3773560,2828193,93027,34786
16856081,6005400,265973,34880
1775248,1077825,48079,35016
4375989,3400573,105013,35055
3262777,3005769,88147,35109
58515737,42422602,725280,35163
6072088,44289,122111,35220
122166233,16911305,1162789,35781
1683473,1529249,50825,35973
49707749,80237,591993,36101
41810035,21842573,537564,36168
4729273,1878194,102570,36201
14397888,8244145,243978,36289
3095457,1335457,74195,36309
1891169,486897,47563,36431
42378048,11483585,527828,36463
5227541,3445661,116143,36651
3221293,538835,75048,36936
5028760,4337953,119939,36938
15932033,7292760,257989,36994
2396093,667029,59069,37025
81884193,2745224,860803,37090
19496767,6091889,295602,37152
5109281,4532721,122417,37253
54560545,5634256,635005,37898
11056989,4239557,194323,37931
31392697,11892434,424974,38007
3587449,2371833,87045,38087
2762097,2451344,76163,38308
247187208,174488417,2125655,38360
29990913,18143825,426041,38387
1735963,1447445,49626,38508
4748053,2286349,103955,38549
42719425,41696448,622801,38652
184913489,47631072,1592452,38693
5461560,1122001,112825,38874
2329777,976264,57938,38977
2872841,2394535,76980,39042
369267392,130664129,2692852,39087
1861389,1767493,55695,39149
2996760,1279873,71848,39201
4877039,390337,103254,39348
4655281,877360,99790,39361
24212722,4869977,345855,39522
3856957,277749,86097,39563
1772128,196065,41907,39718
14918359,4663337,241812,39792
673267810,232559753,4222074,39843
22395221,18261965,362775,39863
4157520,1903361,93440,39871
2844226,2126825,74043,40050
3035581,532021,71089,40091
21799485,3417893,319319,40313
117459181,105785781,1294071,40393
114095889,22382273,1106035,40537
4098641,789336,90341,40664
942001328,609216785,5708631,40754
2654881,1334161,65339,41129
10676673,8233585,205181,41169
2526552,1757489,65726,41249
81341305,37966106,877500,41373
1972250769,314170552,9368274,41527
276836173,259263909,2493267,41545
6518104,2032033,129625,41576
2429482,663449,58407,41598
3304897,250224,75851,41658
4644677,4314139,115422,41658
164969656,66012721,1478413,41752
4396130,1892521,97041,41820
1739945,966778,41949,41874
28489741,19512181,418073,41983
3092129,314712,71719,42092
90406221,11303381,927599,42143
4365537,4149457,110935,42267
5464417,3786609,120977,42507
44927218,18134009,557562,42585
2543256,857105,60905,42686
4751261,841411,101106,42798
