# primitive nontrivial: X^3 +- Y^3 = A^4 + B^4, X>=Y, A>=B, gcd=1
# k=4  M=30000000  branch=sum
# X,Y,A,B,sign   (sign '+' means X^3+Y^3, '-' means X^3-Y^3)
3220105,942633,76449,16237,+
2872841,2394535,76980,39042,+
3330595,889613,77832,31242,+
3433893,1627357,78015,52775,+
3903397,1421389,79051,69473,+
2963552,2904977,79275,57652,+
3518736,1415281,79761,49346,+
3861313,1364280,80142,65899,+
3611425,1096368,80558,50109,+
3499344,263393,80905,12452,+
3459200,3010353,81229,70808,+
3124437,2873437,81903,55115,+
3467576,1580081,82176,13939,+
3574656,2919121,82311,70462,+
3620705,499016,82870,25581,+
3769832,551057,82935,50362,+
3327424,2504097,83424,45017,+
3817289,850282,83877,50958,+
3772168,955329,84369,44380,+
3767985,1331936,84428,47405,+
3519737,2491769,84769,52227,+
3618957,2060117,85021,44405,+
3345688,2552145,85211,34104,+
3170817,2791424,85313,28468,+
3856957,277749,86097,39563,+
3295858,2762105,86523,30192,+
3909681,1188736,86904,45811,+
3587449,2371833,87045,38087,+
3730184,1778097,87088,7123,+
3325665,2773048,87308,5367,+
3273777,2897944,87596,27213,+
3262777,3005769,88147,35109,+
3693848,3361985,88751,71652,+
4748057,2558818,89505,87870,+
4098641,789336,90341,40664,+
4083905,3073136,90997,73110,+
4414538,2452345,91263,74862,+
4175209,1384617,91503,48059,+
5187680,878033,91708,91323,+
4148805,323021,91925,14087,+
4081655,1565881,92064,5070,+
4403000,312033,92194,60211,+
3773560,2828193,93027,34786,+
4157520,1903361,93440,39871,+
4059223,2258345,94092,12156,+
3730402,3122009,95037,29568,+
4109377,3015904,95246,61739,+
4341737,1552649,95781,34553,+
5434735,1802993,95826,95178,+
3648897,3533864,96274,51077,+
4396130,1892521,97041,41820,+
5008881,1518401,98381,77183,+
4551169,318097,98543,7429,+
4565413,133965,98767,5349,+
3747105,3644401,99215,45051,+
4655281,877360,99790,39361,+
4748231,3891769,100140,89940,+
4034056,3324481,100474,26347,+
