# primitive nontrivial: X^3 +- Y^3 = A^4 + B^4, X>=Y, A>=B, gcd=1
# k=4  M=10000000  branch=diff
# X,Y,A,B,sign   (sign '+' means X^3+Y^3, '-' means X^3-Y^3)
1031233,815880,27228,7921,-
1105970,780647,27549,23424,-
2493121,2461704,27573,4654,-
2196305,2106664,28172,28005,-
1031952,772751,28207,8178,-
2096881,2045631,28485,5975,-
2568993,2534015,28527,12023,-
2477816,2441119,28563,4318,-
920921,8599,28953,16729,-
902113,61080,28979,13014,-
932965,377027,29117,14117,-
1691809,1596848,29159,14768,-
10248897,10246496,29484,5201,-
26757383,26756951,29484,20370,-
2508149,2466307,29495,11853,-
923713,306480,29519,2976,-
1950193,1846136,29725,24224,-
1099121,810799,29847,5879,-
1547553,1347455,29881,26079,-
3042953,2991950,30144,27447,-
1018785,480512,30183,18476,-
2137905,2015192,30259,29424,-
1032421,105795,30365,22341,-
2572561,2522760,30428,18315,-
955761,784,30562,5039,-
1037232,93983,30579,22150,-
2506657,2456976,30708,13031,-
1093168,685535,30727,17452,-
1178385,843599,31301,16605,-
1139229,761387,31791,11195,-
1106096,489039,31871,21266,-
1224093,853675,31889,20539,-
1033777,127016,31903,16078,-
1139981,179739,32083,25399,-
1057072,133551,32178,18073,-
1501704,1319983,32263,7498,-
1076008,515295,32451,2062,-
1631169,1377967,32495,27931,-
2088289,1998288,32574,6317,-
14345200,14343279,32887,11250,-
1127773,430331,33145,19607,-
3835393,3806120,33179,16274,-
1159585,405992,33443,22166,-
1346800,920159,33458,25315,-
1081984,221087,33476,2135,-
1110745,480862,33498,2703,-
7669201,7661279,33613,18607,-
1475525,1240517,33684,11268,-
1176641,594415,33867,17935,-
1431680,1169967,33979,1796,-
6530080,6519327,34057,12936,-
3980161,3938984,34949,25826,-
2733089,2664312,35011,4070,-
1350785,908544,35039,21340,-
2187007,2075983,35070,5496,-
9695256,9689615,35505,5102,-
1280013,756731,35875,9297,-
1264881,618320,35898,18865,-
1449136,630735,36046,32415,-
1242824,582847,36174,9835,-
1529409,1215232,36538,4715,-
4354632,4318943,36675,21266,-
6223952,6195391,36816,34801,-
1285325,492139,36879,19825,-
1919505,1734367,36907,487,-
1251881,11150,37023,16980,-
2278881,2150264,37092,1207,-
1242213,47555,37207,4119,-
24438314,24437207,37257,15420,-
1625273,1244870,37638,24447,-
16765437,16763051,37657,5349,-
1366905,729319,37795,18823,-
5487623,5452631,37800,32382,-
1670312,1339231,37806,21539,-
1836264,1458223,37831,31954,-
16796829,16793803,38179,25697,-
814960153,814960151,38605,36443,-
3166849,3077327,39127,22885,-
2953777,2854991,39367,17711,-
1587896,1127119,39368,20301,-
1528209,820928,39817,26622,-
5695385,5658087,39833,32299,-
1389633,526735,39889,8669,-
2274058,1958455,40293,35634,-
2979338,2872391,40305,18126,-
1439425,471464,40670,19403,-
228262009,228261982,40695,34866,-
1841509,1501683,40713,18253,-
1684105,583559,41045,36317,-
1533137,885856,41083,15636,-
2186026,1951639,41091,20058,-
3440913,3353576,41094,20375,-
2092025,1667607,41219,35741,-
1439793,46480,41354,15649,-
11520361,11512055,42095,20147,-
4024177,3954456,42193,19986,-
3713653,3593955,42297,35531,-
1975137,1479496,42374,33389,-
3641953,3473615,42469,42097,-
1594693,553091,42559,27895,-
2297120,2040879,42695,23362,-
1507305,91607,42951,11971,-
1740096,294559,43177,36464,-
8061433,8040455,43349,27209,-
767598929,767598927,43355,6803,-
1864025,1431639,43379,6235,-
1603077,690691,43571,20771,-
3348377,3188726,43911,34398,-
2585425,2364944,44185,22214,-
1657984,782303,44566,19139,-
1734929,307183,44601,33343,-
2119488,1705055,44637,27766,-
