# X^3 - Y^3 = A^4 + B^4
# primitive nontrivial, X>Y>0, A>=B>0, gcd=1
# diff branch, A,B <= 10^6
# n=3207
X,Y,A,B
17166433,15898200,151507,150534
8820136,5402159,151622,7417
8600184,4707887,151815,27226
13119217,11770088,152015,98314
22161905,21458632,152292,146909
502320401,502319160,152407,141410
13970200,12649967,152599,112466
17110967,16440071,153222,62556
8253113,293335,153969,19001
26046425,25762839,154295,45097
20331945,19862167,154463,5557
9867997,7313581,154494,12816
40120855,40002487,154506,14382
22155961,21760654,154638,4521
11144481,9309280,155011,9050
16510202,15618743,156120,99057
16589997,15418091,156357,131957
10541313,3161816,156390,152549
8617713,3281215,156553,44677
9430441,6191494,156582,21213
35538202,35354791,156933,95964
8672239,2906767,157110,65478
9114074,5239223,157359,18192
8799281,3564879,157487,67577
10347296,7851679,158038,5613
14783026,13728919,158133,64842
10775441,4718664,158494,150647
36138266,35901719,158679,130128
9428705,2597952,159283,115342
21767498,21263975,159417,85506
59321929,59260558,159492,20121
13904280,12077119,159530,129227
9748433,3785136,159865,121654
8762169,2501543,160101,14993
10843831,7850935,160152,107460
11542384,8123583,160433,135708
17005504,15543887,160784,149075
15912400,14944607,161374,60253
22484088,21859535,161421,124748
12710722,11104951,161454,46323
43397361,43276304,161576,26589
9890993,6092736,161882,86015
9466573,5215371,162165,62171
11232577,8954696,162389,44122
10208128,4956111,162719,124590
10433128,7464671,162914,62525
10558583,7772615,163074,24216
11559985,8775552,163169,112494
9714904,5839407,163655,25806
15415645,14303307,164771,16593
10977577,6885241,165048,126294
9381424,1819983,165068,93741
10841773,6459611,165145,127109
21958365,21065947,165871,148183
11367000,7091279,165887,137250
11632017,8854703,165941,104955
16771573,15043475,166123,153251
27424253,26857915,166269,148579
10158419,1518419,166380,129180
9437984,3679327,167010,59933
9321969,1557032,167086,72015
45916865,45772992,167264,105617
9448160,3816687,167308,45451
9841097,5399991,167561,52013
10565393,7158831,167989,63365
9816121,3882279,168333,95849
13727887,11847823,168360,104784
10605794,7259063,168726,9363
10442455,94759,168858,134340
11465697,8666176,168904,80777
129328433,129310840,169121,89646
12910472,10484991,169343,115324
13207432,10309071,169523,139836
24194233,23340790,169698,157617
44265697,44122656,169719,53884
14321848,11035391,169850,166117
13379697,11505056,169917,78884
12619737,10540471,170177,13657
19156417,18342936,170769,52588
11025056,7791775,171475,39714
11527488,88015,171656,160499
24038961,23396239,171779,120947
42684120,42523759,171892,21035
13383664,11310143,171968,93359
79779961,79697854,172149,161952
18659696,17775039,172276,18161
10112522,2645591,172482,106893
25224093,24657035,173037,112769
16292975,13853039,173328,166260
92716193,92679535,173349,80503
10034737,4693136,173528,24461
25017625,24518327,173911,45151
9744680,1030879,174112,47865
20847049,20075902,174330,81939
12928209,9688568,174597,133964
47072288,46928335,174858,66143
9981749,3796243,175089,12607
15329930,13830647,175119,63804
14306407,12501511,175146,75954
33772337,33448176,175496,110669
13876915,11864659,176250,78042
17767985,16681192,176371,7104
9994712,2561343,176885,40358
12373778,7122791,176904,153405
18479145,17465767,177001,29159
38282017,38055408,177400,4857
33657872,33323983,177510,106913
11808353,8580960,178477,7462
10051416,881039,178479,17558
13793504,11632623,179284,64309
18975960,17938127,179596,67341
258521474,258516263,179766,26223
79643017,79586951,179767,68327
10288681,684375,179835,80927
378797041,378794600,179869,44840
10749149,5740973,179988,42642
10341296,2823199,180456,69239
291190513,291186240,180674,67983
10993769,5576678,180723,97014
11733189,7694467,180755,98003
13724449,11468952,180935,46836
11001921,797144,181126,126357
14810401,12763800,181574,95235
36898573,36615181,181920,85476
13944617,9827198,182133,160410
17869281,16518104,182466,97523
11531177,7338158,182625,71256
11970281,1959950,182820,155889
11819280,7103999,183105,113932
10434633,678071,183565,25143
12353825,9001464,183650,65597
10590305,366847,183813,82411
10722965,3122789,183870,87828
32194945,31814832,184033,67716
14475056,12216559,185058,77911
13321216,10563935,185210,53731
11405425,6745304,185213,3640
